product_id,product_url,name,discount,discounted_price,original_price,rating,product_info
8179058,https://www.dresslily.com/leaf-print-long-sleeves-pocket-product8179058.html,Leaf Print Casual Pocket Hoodie,56,20.54,46.78,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Leaves;Season:Fall,Spring,Winter;Weight:0.5400kg;Package Contents:1 x Hoodie"
4201022,https://www.dresslily.com/kangaroo-pocket-3d-muscle-printed-product4201022.html,Kangaroo Pocket 3D Muscle Printed Funny Hoodie,67,13.63,41.51,,"Clothes Type:Hoodie;Occasion:Daily,Daily Use,Going Out,Home,Night Out;Style:Novelty;Fit Type:Loose;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Print;Season:Fall;Weight:0.4680kg;Package Contents:1 x Hoodie"
2937681,https://www.dresslily.com/illustration-pattern-hoodie-with-kangaroo-product2937681.html,Illustration Pattern Hoodie with Kangaroo Pocket,64,16.64,46.71,,"Clothes Type:Hoodie;Occasion:Casual ,Daily Use,Going Out,Sports;Style:Casual;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester,Spandex;Thickness:Regular;Patterns:Cartoon;Weight:0.6200kg;Package Contents:1 x Hoodie"
8213461,https://www.dresslily.com/plaid-figure-pattern-long-sleeves-product8213461.html,Plaid Figure Pattern Casual Hoodie,46,19.69,36.44,,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Plaid;Material:Cotton,Polyester;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.5250kg;Package Contents:1 x Hoodie"
8176891,https://www.dresslily.com/water-and-fire-music-note-product8176891.html,Water and Fire Music Note Print Drawstring Hoodie,51,20.75,42.76,,"Clothes Type:Hoodie;Occasion:Daily,Dance,Going Out,Night Out,Sports;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:3D Print,Print;Season:Fall,Spring;Weight:0.6000kg;Package Contents:1 x Hoodie"
4201054,https://www.dresslily.com/check-print-kangaroo-pocket-hoodie-product4201054.html,Checked Print Kangaroo Pocket Hoodie,65,13.25,38.21,,"Clothes Type:Hoodie;Occasion:Daily Use;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Others;Season:Fall,Winter;Weight:0.4690kg;Package Contents:1 x Hoodie"
3378946,https://www.dresslily.com/color-blocking-drawstring-pullover-hoodie-product3378946.html,Color Blocking Drawstring Pullover Hoodie,64,12.41,34.57,4.0,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Thick;Patterns:Patchwork;Season:Fall,Winter;Weight:0.3930kg;Package Contents:1 x Hoodie"
8188873,https://www.dresslily.com/cartoon-animal-print-long-sleeved-product8188873.html,Cartoon Animal Print Casual Hoodie,54,20.53,44.82,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Animal,Cartoon,Character;Season:Fall,Spring,Winter;Weight:0.5860kg;Package Contents:1 x Hoodie"
8176887,https://www.dresslily.com/music-note-fire-3d-print-product8176887.html,Music Note Fire 3D Print Drawstring Hoodie,50,20.75,41.58,,"Clothes Type:Hoodie;Occasion:Daily,Dance,Festival,Going Out,Night Out,Sports;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:3D Print;Season:Fall,Spring;Weight:0.6000kg;Package Contents:1 x Hoodie"
8176883,https://www.dresslily.com/color-block-fleeces-drawstring-hoodie-product8176883.html,Color Block Fleeces Drawstring Hoodie,48,19.70,37.95,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Color Block;Season:Fall,Winter;Weight:0.4700kg;Package Contents:1 x Hoodie"
6853528,https://www.dresslily.com/leopard-print-drawstring-pullover-hoodie-product6853528.html,Leopard Print Drawstring Pullover Hoodie,68,11.16,34.53,,Clothes Type:Hoodie;Occasion:Going Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Leopard;Season:Winter;Weight:0.3490kg;Package Contents:1 x Hoodie
8214731,https://www.dresslily.com/novelty-print-full-sleeves-pocket-product8214731.html,Novelty Print Kangaroo Pocket Hoodie,40,25.77,42.74,,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.5350kg;Package Contents:1 x Hoodie"
2816171,https://www.dresslily.com/raglan-sleeve-two-tone-hoodie-product2816171.html,Raglan Sleeve Two Tone Hoodie,62,14.76,38.45,5.0,"Clothes Type:Hoodie;Occasion:Casual ,Daily Use,Going Out;Style:Casual;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Stripe;Weight:0.5000kg;Package Contents:1 x Hoodie"
2937647,https://www.dresslily.com/pullover-leopard-hoodie-with-kangaroo-product2937647.html,Pullover Leopard Hoodie with Kangaroo Pocket,67,16.02,49.26,,"Clothes Type:Hoodie;Occasion:Casual ,Daily Use,Going Out,Sports;Style:Casual;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester,Spandex;Thickness:Regular;Patterns:3D,Animal;Weight:0.5800kg;Package Contents:1 x Hoodie"
