product_id,rating,timestamp,text,size,color
8210689,5,"Nov,13 2019 21:19:51",Juste perfect! Nice packaging and which is arrived quickly!nI advise this web store and this Gothic hoodie!,L,MIDNIGHT BLUE
3253004,5,"Jan,05 2020 03:20:11",Awesome hoodie. Thank you very much.,M,ASH GRAY
3253004,5,"Oct,14 2019 01:09:10",Looks great,XL,WHITE
3253004,5,"Feb,18 2019 05:24:00",I haven’t had a chance to wear this but once but everyone loves it. I really love the color.,3XL,RED WINE
3253004,5,"Oct,28 2018 20:09:22",I love this jacket it's very trim fits like a glove,L,WHITE
3253004,5,"Oct,25 2018 12:10:43",Nice,M,WHITE
7709402,5,"Dec,14 2019 11:43:14","I'm a women so even the XS is kinda large lol, but I still love it and it suit me. It's like the photo, the colors are vivids, and it keep me warm, i'm satisfied.",XS,multicolor
8239586,5,"Dec,28 2019 13:18:38",Sieht sehr gut aus kann ich empfehlen sollte dieses Motiv auch in Baumwolle geben würde ich es mir erneut bestellen,L,RED
4757543,5,"Jan,12 2020 12:16:40",One of my favorite hoodies. Very warm also,S,ARMY GREEN
4757543,5,"Dec,20 2019 10:18:39",Arrived on time liked the fit,2XL,DARK GRAY
4757543,5,"Dec,09 2019 04:53:43",Love the hoodie,M,CADETBLUE
4757543,5,"Sep,16 2018 10:24:24","so GOOG，lots of compliments and friends and people ask where I get it and referral to this website,",M,DARK GRAY
4757543,5,"Nov,30 2019 23:34:54",Perfekt,2XL,ARMY GREEN
4757543,5,"Nov,30 2019 23:34:49",Perfekt,2XL,BLACK
4757543,5,"Sep,15 2018 10:22:11",Very happy with this stylish hoodise. Also great customer service Satisfaction!,M,DARK GRAY
4757543,5,"Sep,12 2018 10:08:55","It was very good, my girl buy it for me，i love it！",M,DARK GRAY
4757543,5,"Nov,24 2019 15:13:17",I ordered this with the faux back pocket jogger pants with the idea of having an army green outfit. It came in the mail and I was happy to get it. Although the shades of green are off I can still make it work.,M,ARMY GREEN
